"No.","Time","Source","Destination","Protocol","Length","Info"
"762","7.907776","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"763","7.908075","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x65cc A hello"
"764","7.908153","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x65cc A hello"
"765","7.908523","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0xd339 AAAA hello"
"766","7.908602","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0xd339 AAAA hello"
"767","8.174141","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xd472 A sd-007"
"768","8.174227","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xd472 A sd-007"
"769","8.174669","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x9545 AAAA sd-007"
"770","8.174745","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x9545 AAAA sd-007"
"771","8.330465","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x65cc A hello"
"772","8.330537","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x65cc A hello"
"773","8.330765","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0xd339 AAAA hello"
"774","8.330823","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0xd339 AAAA hello"
"775","8.655620","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
